   3 |   6 | 119.60 | 2013-10-30
   1 |   2 |  38.00 | 2013-10-30
   4 |   4 | 119.40 | 2013-10-31
   5 |   6 | 194.40 | 2013-10-31
   6 |   9 | 213.10 | 2013-11-02
   7 |   1 |  19.00 | 2013-11-02
   8 |   3 |  82.40 | 2013-11-02
   9 |   3 |  85.40 | 2013-11-05
  10 |   3 |  75.00 | 2013-11-06
  11 |   7 | 139.70 | 2013-11-07
  12 |   7 | 160.00 | 2013-11-08
  14 |   2 |  50.00 | 2013-11-09
  13 |   2 |  54.00 | 2013-11-09
  17 |   5 | 114.70 | 2013-11-12
  18 |   9 | 248.60 | 2013-11-12
  16 |   6 | 175.00 | 2013-11-12
  19 |   1 |  18.00 | 2013-11-12
  15 |   3 |  88.00 | 2013-11-12
  20 |   1 |  15.00 | 2013-11-13
  22 |   3 |  95.70 | 2013-11-14
  23 |   6 | 164.20 | 2013-11-15
  25 |   1 |  15.00 | 2013-11-16
  24 |   6 | 175.10 | 2013-11-16
  28 |   5 |  93.00 | 2013-11-17
  27 |   4 | 103.60 | 2013-11-17
  26 |   1 |  27.70 | 2013-11-17
  29 |   7 | 162.70 | 2013-11-18
  30 |   6 | 150.40 | 2013-11-19
  31 |   2 |  54.00 | 2013-11-19
  32 |   1 |  17.50 | 2013-11-20
  33 |   6 | 140.60 | 2013-11-21
  34 |   5 | 140.00 | 2013-11-22
  35 |   7 | 192.90 | 2013-11-23
  36 |   9 | 233.00 | 2013-11-24
  37 |   1 |  32.20 | 2013-11-24
  39 |   3 | 100.20 | 2013-11-25
  40 |   5 | 143.40 | 2013-11-25
  38 |   3 |  81.70 | 2013-11-25
  43 |   1 |  20.00 | 2013-11-26
  42 |   8 | 210.00 | 2013-11-26
  41 |   7 | 156.00 | 2013-11-26
  44 |   3 |  98.40 | 2013-11-27
  46 |   5 | 120.00 | 2013-11-27
  47 |  14 | 369.30 | 2013-11-27
  45 |   5 |  78.40 | 2013-11-27
  49 |   2 |  36.00 | 2013-12-05
  50 |   3 |  97.70 | 2013-12-05
  52 |   4 |  66.40 | 2013-12-06
  53 |   8 | 229.20 | 2013-12-06
  54 |   8 | 201.10 | 2013-12-06
  55 |   1 |  27.70 | 2013-12-06
  56 |   3 |  48.00 | 2013-12-06
  51 |   3 |  62.20 | 2013-12-06
  57 |   4 |  97.00 | 2013-12-06
  61 |   2 |  35.00 | 2013-12-07
  58 |   6 | 162.00 | 2013-12-07
  62 |   3 |  84.40 | 2013-12-07
  64 |   5 | 149.20 | 2013-12-07
  59 |   7 | 178.20 | 2013-12-07
  63 |   4 | 105.20 | 2013-12-07
  60 |   8 | 175.50 | 2013-12-07
  68 |   3 |  91.40 | 2013-12-08
  71 |   7 | 154.20 | 2013-12-08
